chinese	meaning	part-of-speech	pinyin	sentence	sentence-pinyin	sentence-meaning
学	learn, study	verb	xué			
学生	student	noun	xuéshēng			
大学	university	noun	dàxué			
伦敦大学	University of London	proper noun	Lúndūn Dàxué			
做	make, do	verb	zuò			
写	write	verb	xiě			
看	see, watch, look; read	verb	kàn			
喝	drink	verb	hē			
上网	surf the internet	verb-object	shàng wǎng			
专业	major. subject	noun	zhuānyè			
英文	English (language)	noun	Yīngwén			
中文	Chinese (language)	noun	Zhōngwén			
文学	literature	noun	wénxué			
电视	TV	noun	diànshì			
书	book	noun	shū			
汉子	Chinese character	noun	hànzi			
茶	tea	noun	chá			
牛奶	(cow) milk	noun	niúnǎi			
和	and	conjunction	hé			
咖啡	coffee	noun	kāfēi			
晚上	evening	time word	wǎnshang			
早上	morning	time word	zǎoshang			
天天	every day	time word	tiāntiān			
还是	or (for question)	conjunction	háishi			
法文	French	noun	Fǎwén			
德文	German	noun	Déwén			
日文	Japanese	noun	Rìwén			
看电影	watch films	verb	kàn diànyǐng			
看小说	read novels	verb	kàn xiǎoshuō			
做作业	do homework	verb	zuò zuòyè			
做饭	cook (a meal)	verb	zuò fàn			
吃饭	eat	verb	chīfàn			
酒	alcoholic drink	noun	jiǔ			
可乐	cola	noun	kělè			
果汁	fruit juice	noun	guǒzhī			
矿泉水	mineral water	noun	kuàngquánshuǐ			
