chinese	meaning	part-of-speech	pinyin	sentence	sentence-pinyin	sentence-meaning
他	he; him	pronoun	tā			
她	she; her	pronoun	tā			
姓	have as a surname	verb	xìng			
叫	be called; call; shout	verb	jiào			
贵	honourable; expensive	adjective	guì			
对	correct; right	adjective	duì			
小	small; young	adjective	xiǎo			
名字	name	noun	míngzi			
李	Li (a surname); plum	noun	Lǐ			
李贵	Li Gui (a name)	proper noun	Lǐ Guì			
王	Wang (a surname); king	noun	Wáng			
京*	capital	noun	Jīng			
王京	Wang Jing (Jim King) (a name)	proper noun	Wáng Jīng			
英*	hero; Britain	noun	yīng			
李小英	Li Xiaoying (a name)	proper noun	Lǐ Xiǎoyīng			
李月明	Li Yueming	proper noun	Lǐ Yuèmíng			
方	Fang (a surname); place	noun	fāng			
国	country	noun	guó			
伦*	ethics	noun	lún			
方国论	Fang Guolun (a name)	proper noun	Fāng Guólùn			
也	also, too; neither	adverb	yě			
什么	what	question word	shénme			
呢	interrogative particle for follow-up questions	particle	ne			
陈	Chen (a surname)	noun	Chén			
钱	Qian (a surname)	noun	Qián			
张	Zhang (a surname)	noun	Zhāng			
成龙	Cheng Long (Jackie Chan) (a name)	proper noun	Chéng Lóng			
李小龙	Li Xiaolong (Bruce Lee) (a name)	proper noun	Lǐ Xiǎolóng			
巩李	Gong Li (a name)	proper noun	Gǒng Lǐ			
保罗	Paul	noun	Bǎoluō			
大卫	David	noun	Dàwèi			
莉萨	Lisa	noun	Lìsà			
路易丝	Louise	noun	Lùyìsī			
玛丽	Mary	noun	Mǎlì			
约翰	John	noun	Yuēhàn			
