chinese	meaning	part-of-speech	pinyin	sentence	sentence-pinyin	sentence-meaning
下雨	rain	verb object	xià yǔ			
下雪	snow	verb object	xià xuě			
比	compare; compared with	verb/preposition	bǐ			
冷	cold	adjective	lěng			
热	hot	adjective	rè			
暖和	warm	adjective	nuǎnhuo			
漂亮	pretty	adjective	piàoliang			
个子	(of a human being) height; stature	noun	gèzi			
青青	Qingqing (a name)	proper noun	qīngqing			
篮球	basketball	noun	lánqiú			
高	tall (person or building)	adjective	gāo			
胖	stout; fat	adjective	pàng			
瘦	thin	adjective	shòu			
少	few; little	adjective	shǎo			
春天	spring	noun	chūntiān			
夏天	summer	noun	xiàtiān			
秋天	autumn	noun	qiūtiān			
冬天	winter	noun	dōngtiān			
天气	weather	noun	tiānqì			
常常	often	adverb	chángcháng			
一样	the same	adjective/adverb	yíyàng			
怎么样	How is it?	question word	zěnmeyàng			
凉快	cool	adjective	liángkuai			
闷热	muggy, close	adjective	mēnrè			
干燥	dry	adjective	gānzào			
潮湿	damp, humid	adjective	cháoshī			
轻	light (weight)	adjective	qīng			
重	heavy (weight)	adjective	zhòng			
矮	short (height)	adjective	ǎi			
富/有钱	rich	adjective	fù/yǒu qián			
穷/没钱	poor	adjective	qióng/méi qián			
有用	useful	adjective	yǒuyòng			
远	far	adjective	yuǎn			
进	near, close	adjective	jìn			
