chinese	meaning	part-of-speech	pinyin	sentence	sentence-pinyin	sentence-meaning
是	be	verb	shì			
这	this	pronoun	zhè/zhèi			
那	that	pronoun	nà/nèi			
我们	we; us	pronoun	wǒmen			
你们	you (plural)	pronoun	nǐmen			
他们	they; them	pronoun	tāmen			
先生	Mr; husband	noun	xiānsheng			
太太	Mrs; wife	noun	tàitai			
小姐	Miss	noun	xiǎojiě			
老师	teacher	noun	lǎoshī			
医生	doctor	noun	yīshēng			
人	person, people	noun	rén			
中国	China	proper noun	Zhōngguó			
英国	UK	proper noun	Yīngguó			
地方	place	noun	dìfang			
北京	Beijing	proper noun	Běijīng			
伦敦	London	proper noun	Lúndūn			
上海	Shanghai	proper noun	Shànghǎi			
都	all, both	adverb	dōu			
就	exactly	adverb	jiù			
谁	who	question word	shéi/shuí			
哪	which	question word	nǎ/něi			
法国	France	proper noun	Fǎguó			
巴黎	Paris	proper noun	Bālí			
德国	Germany	proper noun	Déguó			
柏林	Berlin	proper noun	Bólín			
日本	Japan	proper noun	Rìběn			
东京	Tokyo	proper noun	Dōngjīng			
工程师	engineer	noun	gōngchéngshī			
公务员	civil servant	noun	gōngwùyuán			
记者	journalist	noun	jìzhě			
经理	manager	noun	jīnglǐ			
律师	lawyer	noun	lǜshī			
会计	accountant	noun	kuàiji			
