chinese	meaning	part-of-speech	pinyin	sentence	sentence-pinyin	sentence-meaning
会	can, may;  meeting	modal verb/noun	huì			
想	would like to, intend; think; miss	modal verb/verb	xiǎng			
要	want	modal verb/verb	yào			
应该	should	modal verb	yīnggāi			
喜欢	like	verb	xǐhuan			
认识	know	verb	rènshi			
说	speak	verb	shuō			
打	play (games); hit	verb	dǎ			
踢	kick; play (football)	verb	tī			
汉语	Chinese (language)	noun	Hànyǔ			
外语	foreign language	noun	wàiyǔ			
日语	Japanese (language)	noun	Rìyǔ			
法语	French (language)	noun	Fǎyǔ			
足球	football	noun	zúqiú			
网球	tennis	noun	wǎngqiú			
一点儿	a bit; a bit of	noun/adjective	yī diǎnr			
可是	but	conjunction	kěshì			
为什么	why	question word	wèishénme			
一起	together	adjective	yīqǐ			
因为	because	conjunction	yīnwèi			
打排球	play volleyball	verb	dǎ páiqiú			
打乒乓球	play table tennis	verb	dǎ pīngpāngqiú			
打羽毛球	play badminton	verb	dǎ yǔmáoqiú			
打橄榄球	play rugby	verb	dǎ gǎnlǎnqiú			
打篮球	play basketball	verb	dǎ lánqiú			
滑冰	skate	verb	huá bīng			
滑水	surf	verb	huá shuǐ			
滑雪	ski	verb	huá xuě			
跑步	jog	verb	pǎo bù			
游泳	swim	verb	yóu yǒng			
