chinese	meaning	part-of-speech	pinyin	sentence	sentence-pinyin	sentence-meaning
去	go (to)	verb	qù			
来	come (the opposite direction of 去)	verb	lái			
还书	return books	verb-object	huán shū			
骑	ride (a bicycle, horse etc.)	verb	qí			
坐	set; take (bus etc.)	verb	zuò			
回家	go back home	verb-object	huí jiā			
开车	drive	verb-object	kāi chē			
打的	take a taxi	verb-object	dǎ dí			
走路	walk	verb-object	zǒu lù			
上班	go to work	verb-object	shàng bān			
自行车	bicycle	noun	zìxíngchē			
火车	train	noun	huǒchē			
快	fast	adjective/adverb	kuài			
公共	public	adjective	gōnggòng			
汽车	automobile, car	noun	qìchē			
公共汽车	bus	noun	gōnggòng qìchē			
图书馆	library	noun	túshūguǎn			
东方	the East; the Orient	noun	Dōngfāng			
地铁	underground train	noun	dìtiě			
商店	shop	noun	shāngdiàn			
学院	college	noun	xuéyuàn			
商学院	business school/college	noun	shāngxuéyuàn			
哪儿	where	question word	nǎr			
怎么	how; why	question word	zěnme			
坐车	by vehicle	verb-object	zuò chē			
坐出租车	by taxi	verb-object	zuò chūzūchē			
坐飞机	by plane	verb-object	zuò fēijī			
坐船	by boat/ship	verb-object	zuò chuán			
上午	morning	time word	shàngwǔ			
中午	noon	time word	zhōngwǔ			
下午	afternoon	time word	xiàwǔ			
开会	have/attend a meeting	verb-object	kāi huì			
借书	borrow books	verb-object	jiè shū			
买东西	shopping	verb-object	mǎi dōngxi			
出差	go on a business trip	verb-object	chū chāi			
度假	go on a holiday	verb-object	dù jià			
