chinese	meaning	part-of-speech	pinyin	sentence	sentence-pinyin	sentence-meaning
今天	today	time word	jīntiān			
明天	tomorrow	time word	míngtiān			
后天	the day after tomorrow	time word	hòutiān			
今年	this year	time word	jīnnián			
星期	week	noun	xīngqī			
生日	birthday	noun	shēngrì			
号	date; number; size	noun	hào			
弟弟	younger brother	noun	dìdi			
妹妹	younger sister	noun	mèimei			
岁	year (age); time	measure word/noun	suì			
快乐	happy	adjective	kuàilè			
大	big; old (age)	adjective	dà			
几	how many (used for less tan 10)	question word	jǐ			
多	how many/how much; many, much	question word/adjective	duō			
的	an attributive and possessive particle	particle	de			
吧	an interrogative or suggestive particle	particle	ba			
年纪	age	noun	niánjì			
对不起	sorry, pardon, excuse me	idiomatic expression	duìbuqǐ			
知道	know	verb	zhīdào			
星期一	Monday	time word	xīngqīyī			
星期二	Tuesday	time word	xīngqī'èr			
星期三	Wednesday	time word	xīngqīsān			
星期四	Thursday	time word	xīngqīsì			
星期五	Friday	time word	xīngqīwǔ			
星期六	Saturday	time word	xīngqīliù			
星期日/星期天	Sunday	time word	xīngqīrì/xīngqītiān			
一月	January	time word	yīyuè			
二月	February	time word	èryuè			
三月	March	time word	sānyuè			
四月	April	time word	sìyuè			
五月	May	time word	wǔyuè			
六月	June	time word	liùyuè			
七月	July	time word	qīyuè			
八月	August	time word	bāyuè			
九月	September	time word	jiǔyuè			
十月	October	time word	shíyuè			
十一月	November	time word	shíyīyuè			
十二月	December	time word	shí'èryuè			
